# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.504238714061185,2.5961275881942636,0.5815075887680177,0,3.0,1.7488319435277537,0.0,0.0,0.0
 0.08909015211565782,6.516143683694988,2.5962484185233743,0.5815075887680177,0.2672704563469735,3.0000000000000004,1.7488319435277537,0.0,32.50792400751566,0.0
 0.12550380507864156,6.52785934601251,2.596609483512787,1.7652398521247405,0.37651141523592474,3.000000000000001,1.8156881846774497,0.0,43.8151926589931,0.0
 0.15312272518887313,6.539386831137914,2.5972086441656215,2.9753681577878752,0.45936817556661946,3.000000000000001,1.8833379577664242,0.0,53.69960313303566,0.0
 0.17614577150847982,6.550727269195371,2.598043761484998,4.211696608064252,0.5284373145254395,2.9999999999999987,1.9515276567624653,0.0,62.91431108656748,0.0
 0.1962084285999085,6.561881790309043,2.5991126964740356,5.473924857537526,0.5886252857997255,2.9999999999999973,2.0199732483298347,0.0,71.75498932562863,0.0
 0.21415444467639233,6.572851524603099,2.600413310135855,6.761641049543182,0.642463334029177,3.0,2.0883607197881657,0.0,80.36540007163069,0.0
 0.2304882684556463,6.583637602201703,2.601943463473576,8.074315332262442,0.6914648053669389,3.0,2.1563472421097383,0.0,88.82039024197834,0.0
 0.24554087984291578,6.594241153229023,2.603701017490318,9.411294149840565,0.7366226395287474,3.0000000000000036,2.223563128931826,0.0,97.15748717729089,0.0
 0.25954393202686193,6.604663307809224,2.605683833189202,10.771795512845248,0.7786317960805859,3.0,2.289614654193278,0.0,105.3914244212697,0.0
 0.27266748501058347,6.614905196066474,2.607889771573347,12.154905455267665,0.8180024550317504,2.9999999999999956,2.3540877676121195,0.0,113.5217510775396,0.0
 0.28504106463584233,6.6249679481249375,2.6103166936458737,13.559575881424415,0.8551231939075271,3.000000000000009,2.4165527152735535,0.0,121.53726177832907,0.0
 0.29676625978605276,6.634852694108782,2.6129624604099013,14.984623993797534,0.8902987793581584,3.0,2.4765695365356786,0.0,129.41883757834026,0.0
 0.3079246777206074,6.644560564142174,2.6158249328685503,16.428733472100898,0.9237740331618223,3.0,2.533694365761026,0.0,137.1414479971245,0.0
 0.3185831919226522,6.654092688349278,2.618901972024941,17.890457543267246,0.9557495757679568,3.0000000000000053,2.587486424185912,0.0,144.6756950274068,0.0
 0.3287975302697927,6.663450196854262,2.6221914388821923,19.368224042884886,0.9863925908093782,3.0,2.637515542130687,0.0,151.98910143224856,0.0
 0.33861480311137837,6.672634219781292,2.6256911944434247,20.86034252059271,1.0158444093341352,2.9999999999999942,2.6833700104691545,0.0,159.04725230894545,0.0
 0.34807533037230415,6.6816458872545335,2.6293990997117587,22.36501338683683,1.0442259911169125,2.9999999999999942,2.724664525391771,0.0,163.52121005288416,0.0
 0.3573421750283255,6.690486329398154,2.6333130156903133,23.88033903836154,1.042374195675062,-0.199830202251981,2.761047964854111,0.0,165.039550824632,0.0
 0.3665763118822088,6.699156676336317,2.637430803382209,25.404336836979624,1.0365411123693031,-0.6316869024207611,2.792210721117953,0.0,165.99782273645332,0.0
 0.3757970166551331,6.707658058193194,2.641750323790565,26.93495375338068,1.0318070904689707,-0.5134121541591316,2.8178913166251873,0.0,166.78927327700427,0.0
 0.3850010178823089,6.715991605092945,2.6462694379185026,28.470082429301986,1.02816651835824,-0.3955423321741286,2.83788204501813,0.0,167.4098491578777,0.0
 0.3941850410260454,6.72415844715974,2.650986006769141,30.007578358457373,1.0256125409392702,-0.27808917497247354,2.852033414476535,0.0,167.85674175524323,0.0
 0.4033458258149227,6.7321597145177465,2.6558978913455995,31.54527784503931,1.0241370611662257,-0.16106477851504583,2.8602572140120266,0.0,168.12843291365607,0.0
 0.41248014352758416,6.739996537291128,2.6610029526509993,33.08101636780453,1.0237307519891963,-0.04448161207117165,2.8625280833308477,0.0,168.22471585181256,0.0
 0.42158481394815434,6.747670045604051,2.6662990516884597,34.612646962229356,1.0243830785329087,0.07164746372791142,2.858883531714848,0.0,168.14669056242136,0.0
 0.4306567217285033,6.755181369580683,2.6717840494611007,36.13805823258251,1.0260823301908402,0.18730918557310772,2.849422419472993,0.0,167.89673400324781,0.0
 0.43969283190906416,6.762531639345189,2.677455806972042,37.65519161999218,1.0288156620349649,0.3024898755666853,2.8343019828636633,0.0,167.47844633274522,0.0
 0.44869020437451795,6.769721985021738,2.683312185224404,39.162057581583404,1.0325691446721026,0.4171754199961751,2.81373354466662,0.0,166.89657528527988,0.0
 0.4576460070508995,6.776753536734492,2.6893510452213065,40.65675037720222,1.037327821733429,0.5313512627825183,2.7879771021941493,0.0,166.15692144844468,0.0
 0.4665575276861726,6.783627424607621,2.695570247965869,42.13746121138349,1.0430757737510337,0.6450023798243198,2.757335024108983,0.0,165.26622784461128,0.0
 0.47542218409446463,6.790344778765289,2.701967654461213,43.602489537120476,1.0497961874866473,0.7581132788550385,2.722145108498429,0.0,164.23205746148346,0.0
 0.4842375327844346,6.796906729331665,2.7085411257104566,45.05025238971464,1.0574714291870455,0.8706679645163741,2.682773265796327,0.0,163.06266272740933,0.0
 0.4930012759315404,6.8033144064309115,2.7152885227167203,46.4792916827408,1.0660831209171262,0.9826499459793802,2.639606080445815,0.0,161.76685069028096,0.0
 0.5017112666921313,6.809568940187198,2.7222077064831245,47.88827945762303,1.075612218343921,1.0940421969113912,2.593043490921176,0.0,160.35384775059254,0.0
